"age","sex","ndepchld","wage","working","married","wage_ln","educ"
62,"female",0,NA,0,1,NA,10
43,"female",3,NA,0,1,NA,11
69,"female",0,NA,0,1,NA,11
64,"female",0,615.384643554688,1,1,6.42224740982056,11
51,"female",0,425,1,1,6.05208921432495,10
40,"female",0,NA,0,1,NA,13
64,"female",0,NA,0,1,NA,18
60,"female",0,NA,0,1,NA,12
63,"female",0,NA,0,1,NA,15
45,"female",1,891.268188476562,1,1,6.79264545440674,11
44,"female",1,591.716003417969,1,1,6.38302659988403,11
53,"female",0,NA,0,1,NA,11
34,"female",2,1129.97351074219,1,1,7.02994966506958,15
30,"female",3,410.833343505859,1,1,6.01818752288818,11
48,"female",0,NA,0,1,NA,10
55,"female",1,NA,0,1,NA,11
64,"female",0,NA,0,1,NA,10
45,"female",1,NA,0,1,NA,11
49,"female",0,769.230773925781,1,1,6.64539098739624,12
64,"female",0,NA,0,1,NA,10
52,"female",0,704.123046875,1,1,6.55695295333862,12
42,"female",3,522.081420898438,1,1,6.25782346725464,11
42,"female",0,881.174072265625,1,1,6.78125524520874,15
24,"female",0,523.076904296875,1,1,6.25972843170166,13
34,"female",2,118.68132019043,1,1,4.77644205093384,11
33,"female",2,579.888122558594,1,1,6.36283540725708,11
37,"female",1,550,1,1,6.30991840362549,11
54,"female",0,NA,0,1,NA,9
33,"female",0,633.333312988281,1,1,6.45099687576294,11
42,"female",1,847.723693847656,1,1,6.74255466461182,17
58,"female",0,NA,0,1,NA,10
46,"female",2,NA,0,1,NA,16
56,"female",0,583.200012207031,1,1,6.3685302734375,10
35,"female",2,1018.09954833984,1,1,6.92569303512573,11
68,"female",0,NA,0,1,NA,9
39,"female",2,350,1,1,5.85793304443359,11
35,"female",0,1248.64868164062,1,1,7.12981700897217,15
42,"female",1,488.461547851562,1,1,6.19126081466675,11
52,"female",0,NA,0,1,NA,10
63,"female",0,NA,0,1,NA,15
51,"female",0,NA,0,1,NA,10
39,"female",0,472.615386962891,1,1,6.1582818031311,11
51,"female",0,NA,0,1,NA,11
60,"female",0,NA,0,1,NA,11
49,"female",0,1718.75,1,1,7.44935274124146,10
62,"female",0,NA,0,1,NA,10
50,"female",0,708.333312988281,1,1,6.56291484832764,10
37,"female",2,745.484436035156,1,1,6.6140341758728,13
35,"female",2,NA,0,1,NA,11
38,"female",3,858.974365234375,1,1,6.75573921203613,11
51,"female",0,1689.18920898438,1,1,7.43200397491455,10
57,"female",0,NA,0,1,NA,10
44,"female",0,NA,0,1,NA,11
35,"female",0,420,1,1,6.04025459289551,10
62,"female",0,NA,0,1,NA,10
43,"female",1,NA,0,1,NA,11
49,"female",0,676.923095703125,1,1,6.5175576210022,10
37,"female",2,450.028991699219,1,1,6.10931205749512,11
63,"female",0,NA,0,1,NA,11
42,"female",1,416.666656494141,1,1,6.03228664398193,11
57,"female",0,450,1,1,6.10924768447876,10
54,"female",2,NA,0,1,NA,10
51,"female",0,433.333343505859,1,1,6.07150745391846,10
59,"female",0,NA,0,1,NA,10
50,"female",0,450,1,1,6.10924768447876,10
65,"female",0,NA,0,1,NA,10
29,"female",0,641.105773925781,1,1,6.46319437026978,12
47,"female",0,537.142883300781,1,1,6.28626394271851,10
61,"female",0,NA,0,1,NA,11
61,"female",0,NA,0,1,NA,10
63,"female",0,NA,0,1,NA,12
57,"female",0,692.307678222656,1,1,6.54003047943115,12
57,"female",0,NA,0,1,NA,16
50,"female",0,NA,0,1,NA,14
34,"female",2,1304.34777832031,1,1,7.17345857620239,17
62,"female",0,NA,0,1,NA,11
48,"female",1,NA,0,1,NA,13
42,"female",1,NA,0,1,NA,16
64,"female",0,NA,0,1,NA,14
37,"female",1,625,1,1,6.43775177001953,11
59,"female",0,798.816589355469,1,1,6.68313121795654,11
61,"female",0,NA,0,1,NA,10
64,"female",0,NA,0,1,NA,10
31,"female",1,NA,0,1,NA,13
34,"female",2,NA,0,1,NA,11
41,"female",0,588.717956542969,1,1,6.37794733047485,16
32,"female",3,NA,0,1,NA,10
30,"female",0,625,1,1,6.43775177001953,11
44,"female",0,923.076904296875,1,1,6.82771253585815,12
21,"female",0,NA,0,1,NA,11
66,"female",0,1328.46154785156,1,1,7.19177675247192,10
41,"female",2,NA,0,1,NA,13
47,"female",0,NA,0,1,NA,12
45,"female",2,604.8125,1,1,6.4049186706543,14
44,"female",3,NA,0,1,NA,17
50,"female",0,758.241760253906,1,1,6.63100242614746,11
45,"female",1,800,1,1,6.68461179733276,11
50,"female",0,NA,0,1,NA,10
49,"female",0,1661.53845214844,1,1,7.41549921035767,17
62,"female",0,NA,0,1,NA,16
53,"female",0,942.857116699219,1,1,6.8489146232605,11
64,"female",1,450,1,1,6.10924768447876,10
36,"female",3,559.435119628906,1,1,6.32692766189575,13
63,"female",0,NA,0,1,NA,10
33,"female",2,628.571411132812,1,1,6.4434494972229,11
47,"female",0,625,1,1,6.43775177001953,13
34,"female",1,752.806640625,1,1,6.62380838394165,11
64,"female",0,942.857116699219,1,1,6.8489146232605,10
